date,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
2022/6/18 15:28,246.932617,60.5957,2.52364505,0.160252578,0.426534031,83.19795914,83.01561905,83.39638934,82.67319232,60.11484926,56.58280707,38.06730759
2022/6/18 15:31,227.011475,60.97656,2.35293954,0.149644923,0.320898273,64.66991326,70.73373653,75.48940934,74.80715114,56.5349142,52.78100367,38.10959791
2022/6/18 15:34,238.9635,58.34961,3.404674809,0.171124368,0.325375317,75.31126162,72.80111391,74.6356366,73.81045811,55.19172301,54.81680033,39.32269041
2022/6/18 15:37,213.560669,59.58008,2.350272379,0.145931871,0.312655388,63.00427545,75.12748171,75.28783346,74.49335326,52.64745878,53.25641474,37.7226025
2022/6/18 15:40,244.253236,60.67383,2.403830735,0.1671533,0.32237986,68.55627489,69.81872441,69.49808248,75.10955673,36.47095851,53.63271242,39.43015306
2022/6/18 15:43,240.209229,61.94336,2.92749875,0.168087578,0.19147672,74.45535549,74.34567559,75.8544983,74.03044987,56.49849493,56.18224285,39.23773283
2022/6/18 15:46,228.3783,60.32227,2.821067848,0.155292451,0.328512739,75.06326063,74.83866036,74.69357617,51.74116127,64.98726855,54.10756284,38.15779013
2022/6/18 15:49,223.9970024,59.30664,2.473395743,0.159800077,0.314632824,75.63280086,75.39581993,65.47888155,74.18701645,53.7895316,59.35327774,38.59042871
2022/6/18 15:52,240.580933,48.50594482,2.936461912,0.155297814,0.319156479,92.67413904,74.39931642,74.80202789,76.74720703,53.87295331,55.56815138,37.41643447
2022/6/18 15:55,224.517944,58.18359,2.405249572,0.159252029,0.351156578,74.53151898,72.86909164,77.30820219,75.07778372,48.61289479,54.6701451,38.06515728
2022/6/18 15:58,240.209229,59.29688,2.416038545,0.15892485,0.330480211,77.04211368,74.5262928,75.70946837,72.26946187,62.43721978,53.13444739,38.89385479
2022/6/18 16:01,239.4150083,58.4430473,2.421712422,0.168949895,0.298328,74.65351903,76.83056619,81.74794742,73.54478801,51.4013587,65.10606793,37.51879638
2022/6/18 16:04,246.6836,62.64648,2.497106739,0.153936677,0.312969197,77.1018362,75.28957753,73.05741735,73.19007162,53.50134553,54.08895628,37.32505956
2022/6/18 16:07,217.794556,59.17030991,2.533251695,0.152609338,0.313959206,75.51223038,74.58098647,74.1104693,73.467648,47.36024228,54.22203084,38.95063963
2022/6/18 16:10,244.44165,54.0625,2.424010894,0.158907057,0.308834628,72.84356048,72.63520369,71.67699778,72.89866698,52.70102451,54.173069,37.89274646
2022/6/18 16:13,254.8163287,59.50195,2.466354567,0.15130454,0.311841029,73.93293438,73.73394228,73.87632374,64.48092856,51.07160875,53.45971721,38.91726154
2022/6/18 16:16,244.0686,62.61719,2.407907615,0.170951043,0.045111332,73.6958947,73.55860784,74.06866126,78.74131461,53.22220312,54.11443389,38.32979799
